,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,matagami,ca,49.76,-77.63,14.0,40.0,1.0,10.29
2,dongzhen,cn,43.33,129.73,-1.1,66.0,0.0,2.15
3,flinders,au,-34.58,150.85,59.0,100.0,90.0,11.41
4,chuy,uy,-33.69,-53.46,74.24,66.0,0.0,12.77
5,ancud,cl,-41.87,-73.83,59.3,64.0,24.0,3.38
6,busselton,au,-33.64,115.35,74.78,84.0,0.0,16.24
7,namanga,ke,-2.55,36.79,56.96,87.0,36.0,2.71
9,benavente,pt,38.98,-8.82,50.02,76.0,20.0,14.99
10,changtu,cn,42.78,124.11,4.13,62.0,8.0,3.71
11,nikolskoye,ru,59.7,30.79,26.6,86.0,90.0,13.42
12,butaritari,ki,3.07,172.79,82.16,100.0,24.0,12.21
13,at-bashi,kg,41.17,75.81,11.06,59.0,0.0,1.92
15,pevek,ru,69.7,170.27,-24.86,76.0,0.0,6.62
16,albany,au,-35.02,117.88,68.39,66.0,76.0,13.0
17,rikitea,pf,-23.12,-134.97,81.08,99.0,68.0,14.45
21,atuona,pf,-9.8,-139.03,79.64,100.0,36.0,12.88
22,mashhad,ir,36.3,59.61,53.6,76.0,0.0,4.83
23,husavik,is,66.04,-17.34,37.4,86.0,75.0,1.92
25,vaini,to,-21.2,-175.2,69.8,100.0,20.0,4.38
26,dongli,cn,24.18,117.61,57.2,62.0,20.0,8.95
28,erzin,ru,50.26,95.16,1.7,67.0,0.0,3.38
30,kaitangata,nz,-46.28,169.85,57.68,100.0,76.0,11.21
33,tingi,tz,-11.3,35.03,77.03,100.0,56.0,1.7
34,esperance,au,-33.86,121.89,64.52,86.0,88.0,13.11
35,gaoual,gn,11.75,-13.2,83.96,50.0,0.0,5.39
37,menongue,ao,-14.66,17.68,64.61,96.0,44.0,1.59
38,nhulunbuy,au,-12.18,136.78,77.0,94.0,75.0,17.22
39,bluff,nz,-46.6,168.33,55.7,100.0,100.0,15.23
40,geraldton,ca,49.72,-86.95,19.4,20.0,5.0,8.05
44,sangar,ru,63.92,127.47,-19.37,55.0,0.0,2.26
45,pisco,pe,-13.71,-76.2,77.0,61.0,0.0,12.75
46,barrow,us,39.51,-90.4,41.59,48.0,75.0,12.75
47,akdepe,tm,42.05,59.39,53.6,71.0,20.0,6.93
48,khatanga,ru,71.98,102.47,8.36,87.0,80.0,14.23
50,thompson,ca,55.74,-97.86,28.4,21.0,40.0,9.17
51,saint-philippe,re,-21.36,55.77,78.69,88.0,20.0,2.24
53,qaanaaq,gl,77.48,-69.36,-13.16,79.0,32.0,4.72
54,bud,no,62.91,6.91,36.82,100.0,75.0,14.99
58,bagdarin,ru,54.44,113.59,9.26,61.0,0.0,2.37
60,birao,cf,10.3,22.78,75.5,21.0,20.0,8.41
61,kpandu,gh,7.0,0.29,81.8,76.0,8.0,8.41
62,karratha,au,-20.74,116.85,82.16,74.0,8.0,7.18
63,carnarvon,au,-24.87,113.63,78.2,97.0,0.0,9.42
67,uyaan,ph,7.86,124.04,62.18,96.0,12.0,2.15
68,hobart,au,-42.88,147.33,46.4,75.0,75.0,9.17
70,horsens,dk,55.86,9.84,29.75,63.0,0.0,2.24
71,sabha,ly,27.03,14.43,62.99,20.0,0.0,2.82
72,sur,om,22.57,59.53,71.99,100.0,0.0,2.15
73,bethel,us,60.79,-161.76,19.4,85.0,1.0,8.05
75,bredasdorp,za,-34.53,20.04,66.2,63.0,92.0,2.24
77,sorong,id,-0.86,131.25,78.74,100.0,64.0,3.6
78,kapaa,us,22.08,-159.32,70.54,78.0,90.0,16.11
79,talnakh,ru,69.49,88.39,-2.27,81.0,68.0,23.29
80,hermanus,za,-34.42,19.24,55.7,90.0,92.0,2.71
83,cidreira,br,-30.17,-50.22,70.91,81.0,76.0,1.92
88,jamestown,sh,-15.94,-5.72,74.6,100.0,48.0,13.22
91,nouadhibou,mr,20.93,-17.03,68.0,60.0,0.0,26.4
96,sierpc,pl,52.85,19.67,28.25,74.0,8.0,14.56
98,wiwili,ni,13.63,-85.83,82.4,45.0,40.0,6.93
100,mahebourg,mu,-20.41,57.7,80.6,83.0,75.0,5.95
102,nome,us,30.04,-94.42,68.9,32.0,1.0,18.34
104,tura,ru,64.27,100.22,9.26,54.0,24.0,8.63
105,cairns,au,-16.92,145.77,77.0,83.0,75.0,10.29
109,dobryanka,ru,58.45,56.42,15.8,61.0,0.0,13.42
110,srednekolymsk,ru,67.46,153.71,-24.68,75.0,0.0,3.38
112,jambusar,in,22.05,72.81,71.72,79.0,0.0,8.63
114,castro,cl,-42.48,-73.76,57.05,64.0,8.0,3.38
117,ushuaia,ar,-54.81,-68.31,51.8,50.0,0.0,25.28
119,tiksi,ru,71.64,128.87,-33.68,60.0,8.0,2.59
120,hilo,us,19.71,-155.08,62.62,83.0,90.0,4.7
122,cuamba,mz,-14.8,36.54,72.89,79.0,44.0,1.48
124,hithadhoo,mv,-0.6,73.08,85.58,98.0,48.0,10.98
125,kuching,my,1.56,110.34,75.2,94.0,75.0,4.38
126,sola,vu,-13.88,167.55,76.22,100.0,88.0,3.04
131,yumen,cn,40.29,97.04,34.19,68.0,0.0,9.19
134,senneterre,ca,48.39,-77.24,19.4,52.0,5.0,6.93
135,ilorin,ng,8.5,4.55,80.99,69.0,20.0,9.64
136,kathu,th,7.91,98.33,78.8,88.0,40.0,7.18
137,yar-sale,ru,66.83,70.83,-15.41,46.0,32.0,9.86
139,hasaki,jp,35.73,140.83,41.58,75.0,75.0,18.34
140,aswan,eg,24.09,32.9,84.2,12.0,0.0,10.29
143,beyneu,kz,45.32,55.19,39.14,95.0,44.0,2.82
145,tabuk,sa,28.38,36.58,77.0,9.0,0.0,6.93
146,hambantota,lk,6.12,81.12,79.82,100.0,44.0,5.61
147,kirsanov,ru,52.65,42.73,4.31,70.0,56.0,2.93
148,tuatapere,nz,-46.13,167.69,53.81,100.0,68.0,8.75
149,lompoc,us,34.64,-120.46,63.19,39.0,90.0,6.93
150,anloga,gh,5.79,0.9,84.2,79.0,20.0,13.87
153,yellowknife,ca,62.45,-114.38,10.4,60.0,20.0,13.87
154,sulangan,ph,11.14,123.72,80.9,100.0,0.0,13.67
155,kloulklubed,pw,7.04,134.26,77.88,94.0,40.0,3.36
159,bathsheba,bb,13.22,-59.52,84.2,70.0,40.0,19.46
160,tuktoyaktuk,ca,69.44,-133.03,-1.36,76.0,75.0,3.36
161,nanortalik,gl,60.14,-45.24,32.75,99.0,80.0,6.62
164,kieta,pg,-6.22,155.63,78.29,100.0,64.0,3.6
176,constitucion,mx,23.99,-104.67,75.2,12.0,5.0,4.7
179,duluth,us,46.77,-92.13,29.03,74.0,40.0,16.11
186,monywa,mm,22.12,95.13,70.73,75.0,56.0,2.93
191,bocos,ph,16.93,121.08,59.84,85.0,12.0,2.15
192,isangel,vu,-19.55,169.27,80.63,100.0,0.0,8.63
194,ingham,au,-18.65,146.16,76.58,100.0,80.0,10.31
196,kholtoson,ru,50.3,103.31,23.93,86.0,48.0,5.39
197,dikson,ru,73.51,80.55,5.66,100.0,68.0,12.44
199,chokurdakh,ru,70.62,147.9,-30.98,53.0,0.0,6.62
201,livingstonia,mw,-10.61,34.11,71.18,98.0,68.0,1.81
202,nemuro,jp,43.32,145.57,27.08,100.0,0.0,15.35
206,greystones,ie,53.14,-6.06,34.7,74.0,0.0,5.82
207,saskylakh,ru,71.97,114.09,17.18,83.0,64.0,20.49
208,marck,fr,50.95,1.95,38.57,86.0,40.0,12.75
209,tiznit,ma,29.7,-9.73,59.57,78.0,0.0,10.76
211,bridlington,gb,54.08,-0.19,36.86,93.0,8.0,3.36
212,amahai,id,-3.31,129.0,82.7,100.0,20.0,12.21
218,cerrito,py,-25.87,-56.87,78.83,76.0,48.0,7.74
220,ranfurly,nz,-45.13,170.1,57.32,90.0,8.0,2.59
222,vestmanna,fo,62.16,-7.17,42.8,81.0,80.0,10.29
223,sale,au,-38.11,147.06,61.55,75.0,92.0,9.64
225,savelugu,gh,9.63,-0.83,79.64,72.0,20.0,3.38
229,pierre,us,44.37,-100.35,35.6,74.0,90.0,5.82
233,superior,us,39.95,-105.17,45.66,23.0,40.0,21.92
240,yangjiang,cn,21.85,111.96,60.2,100.0,0.0,20.83
243,tanout,ne,14.97,8.88,72.44,22.0,20.0,2.93
245,havoysund,no,71.0,24.66,22.12,62.0,20.0,16.11
246,khorixas,na,-20.37,14.96,67.31,96.0,88.0,3.71
250,helong,cn,25.94,116.13,41.48,89.0,20.0,6.4
251,longyearbyen,sj,78.22,15.64,6.8,55.0,40.0,17.22
253,antipovka,ru,49.83,45.31,17.0,90.0,92.0,9.98
256,provideniya,ru,64.42,-173.23,19.7,100.0,48.0,8.41
259,ulaangom,mn,49.98,92.07,-0.11,70.0,0.0,2.15
260,maldonado,uy,-34.91,-54.96,69.8,64.0,75.0,17.22
261,dingle,ie,52.14,-10.27,41.66,100.0,0.0,10.2
262,rocha,uy,-34.48,-54.34,68.84,54.0,0.0,14.34
268,mandiana,gn,10.62,-8.7,84.77,38.0,20.0,5.06
270,zhanaozen,kz,43.35,52.85,52.64,77.0,0.0,7.74
271,marsaxlokk,mt,35.84,14.54,60.8,77.0,0.0,16.11
279,margate,za,-30.86,30.37,76.31,88.0,56.0,15.01
283,roald,no,62.58,6.12,34.92,93.0,75.0,19.46
289,chernyshevskiy,ru,63.01,112.47,17.45,80.0,0.0,5.61
290,lawrenceville,us,38.73,-87.68,37.78,59.0,90.0,12.75
299,jinchang,cn,38.52,102.19,30.77,65.0,8.0,8.97
302,leningradskiy,ru,69.38,178.42,-11.18,76.0,24.0,11.21
309,saldanha,za,-33.01,17.94,60.8,63.0,48.0,1.12
310,misratah,ly,32.38,15.09,63.8,67.0,0.0,13.89
314,morondava,mg,-20.3,44.28,78.56,100.0,0.0,1.7
320,souillac,mu,-20.52,57.52,80.6,83.0,75.0,5.95
326,vermilion,ca,53.35,-110.85,28.4,86.0,90.0,6.93
327,pitimbu,br,-7.47,-34.81,86.0,58.0,40.0,10.29
334,vanavara,ru,60.35,102.28,25.46,61.0,56.0,11.21
336,zhaozhou,cn,45.71,125.27,11.96,69.0,0.0,3.38
341,whitianga,nz,-36.83,175.7,67.58,100.0,80.0,12.77
343,surt,ly,31.21,16.59,64.16,80.0,0.0,14.79
345,cherskiy,ru,68.75,161.3,-25.76,40.0,0.0,2.71
346,hit,iq,33.64,42.83,63.98,47.0,0.0,10.76
347,katghora,in,22.51,82.55,68.66,54.0,0.0,3.71
348,upington,za,-28.46,21.24,77.0,10.0,8.0,5.82
350,severo-kurilsk,ru,50.68,156.12,22.31,100.0,36.0,21.61
359,zhuanghe,cn,39.7,122.97,33.47,97.0,68.0,7.52
363,tasiilaq,gl,65.61,-37.64,37.4,74.0,75.0,12.75
364,aljezur,pt,37.31,-8.8,54.98,99.0,0.0,18.59
366,kaeo,nz,-35.1,173.78,69.74,66.0,20.0,10.98
368,kodiak,us,39.95,-94.76,41.0,80.0,90.0,14.99
369,georgetown,sh,-7.93,-14.42,80.36,100.0,0.0,12.1
374,trincomalee,lk,8.58,81.23,71.36,92.0,0.0,2.71
375,nipawin,ca,53.36,-104.02,30.2,80.0,90.0,9.17
379,kalemie,cd,-5.95,29.2,73.34,100.0,88.0,1.81
380,hermiston,us,45.84,-119.29,55.4,43.0,1.0,3.36
385,lalibela,et,12.04,39.05,56.06,67.0,56.0,2.04
387,bulembu,sz,-25.95,31.13,71.6,78.0,64.0,1.12
